transaction_id,account_id,amount,transaction_type,transaction_date
43d3898a-6be7-423d-894a-e0bde6a122b6,c05ff94a-4c34-4885-a1b3-6f20b79d54c9,2310.6,Credit,2025-06-27 00:23:02
b37edf8a-6a93-46b0-9175-5e395d736aef,c05ff94a-4c34-4885-a1b3-6f20b79d54c9,887.09,Credit,2025-06-22 07:30:37
2e0023cd-f5bd-46e2-bd37-e10f325fa000,c05ff94a-4c34-4885-a1b3-6f20b79d54c9,1047.7,Credit,2025-05-13 09:47:02
a67f0648-ff67-4cd5-b501-a06f9b9ea680,c05ff94a-4c34-4885-a1b3-6f20b79d54c9,1244.56,Debit,2025-01-29 04:54:18
7b8450b0-eea5-49df-86f7-aff9f1efaf20,c05ff94a-4c34-4885-a1b3-6f20b79d54c9,266.89,Credit,2025-09-16 08:24:54
d334c956-b854-4adf-b390-088a33ce1c4e,c05ff94a-4c34-4885-a1b3-6f20b79d54c9,1788.4,Debit,2025-01-04 07:15:04
9c3134e9-1c8e-4e2e-84e5-092e92fae22c,c05ff94a-4c34-4885-a1b3-6f20b79d54c9,2239.76,Debit,2025-05-22 13:01:33
158035ba-bd62-4812-8a36-a3e774961a75,c05ff94a-4c34-4885-a1b3-6f20b79d54c9,1271.26,Credit,2025-09-21 17:43:15
e527d6af-118f-4bae-b3c4-254c55fba683,c05ff94a-4c34-4885-a1b3-6f20b79d54c9,735.5,Credit,2025-11-01 14:15:30
3d7c524a-bdcb-4e81-8b30-76b98f71a632,c05ff94a-4c34-4885-a1b3-6f20b79d54c9,940.02,Credit,2025-09-05 07:59:38
96d253bb-2245-401e-ae45-9241d5968dd6,c05ff94a-4c34-4885-a1b3-6f20b79d54c9,2065.23,Debit,2025-10-15 07:58:23
29f7a1c9-f97f-4c36-b45f-06c5361e7b56,c05ff94a-4c34-4885-a1b3-6f20b79d54c9,592.51,Credit,2024-11-29 21:03:59
72140d70-fb6d-4b97-bca9-b969a2c8e9a4,c05ff94a-4c34-4885-a1b3-6f20b79d54c9,2468.66,Credit,2025-10-31 23:28:34
30f77ed9-0312-4995-b93d-9a607d252c37,c05ff94a-4c34-4885-a1b3-6f20b79d54c9,758.14,Credit,2025-06-01 10:10:55
2f67fe18-b3dc-4db5-a86f-fdb2c7314b9b,c05ff94a-4c34-4885-a1b3-6f20b79d54c9,2169.58,Debit,2025-09-20 17:03:19
d5b7a0a7-e797-4c12-a382-86d5463dc7f5,c05ff94a-4c34-4885-a1b3-6f20b79d54c9,775.28,Debit,2025-05-05 07:39:23
1271c4f6-a616-44b6-83e7-7478cf6b84f6,c05ff94a-4c34-4885-a1b3-6f20b79d54c9,1089.56,Credit,2025-06-19 08:48:50
75eafb64-b62f-4ac7-90a2-c2174c33b165,c05ff94a-4c34-4885-a1b3-6f20b79d54c9,2755.03,Credit,2025-04-10 09:22:29
f287f9a6-4215-48aa-8e32-9523b4eb1711,c05ff94a-4c34-4885-a1b3-6f20b79d54c9,1069.33,Debit,2024-12-08 12:14:07
